nct_id,phase,sponsor_name,sponsor_type,study_title,cohort,age_min,age_max,type_lung_nsclc_adeno,type_lung_nsclc_large,type_lung_nsclc_squamous,type_lung_sclc,stage_i,stage_ii,stage_iii,stage_iv,stage_sclc_ls,stage_sclc_es,status_newly_diagnosed,status_relapse,status_refractory,marker_alk_oncogene,marker_egfr_mutation,marker_kras_mutation,treatment_radiation,treatment_radiation_exclusion_period_mo,treatment_chemo_systemic,treatment_chemo_systemic_exclusion_period_mo,treatment_chemo_adjuvant,treatment_chemo_adjuvant_exclusion_period_mo,treatment_tki,treatment_tki_exclusion_period_mo,eligibility_criteria_text

NCT02576574,Phase 3,EMD Serono,Industry,"A Phase III, Open-label, Multicenter Trial of Avelumab (MSB0010718C) Versus Platinum-based Doublet as a First-line Treatment of Recurrent or Stage IV PD-L1+ Non-small Cell Lung Cancer",1,18,150,include,include,include,,,,,include,,,,,,exclude,exclude,,,,exclude,1800,,,,,"
        Inclusion Criteria:

          -  Male or female subjects aged greater than or equal to (>=) 18 years

          -  Tumor determined to be positive for PD-L1 expression per the evaluation of a central
             laboratory

          -  Eastern Cooperative Oncology Group Performance Status (ECOG PS) of 0 to 1

          -  At least 1 lesion that can be measured.

          -  Subjects with histologically confirmed metastatic or recurrent non-small cell lung
             cancer (NSCLC)

          -  Subjects must not have received any treatment for systemic lung cancer, and have an
             estimated life expectancy of more than 12 weeks

          -  Other protocol defined criteria could apply

        Exclusion Criteria:

          -  Subjects whose disease harbors an activating epidermal growth factor receptor (EGFR)
             mutation, or an anaplastic lymphoma kinase (ALK) rearrangement

          -  Prior therapy with any antibody or drug targeting T cell coregulatory proteins,
             concurrent anticancer treatment, or immunosuppressive agents

          -  Subjects with known severe hypersensitivity reactions to monoclonal antibodies,
             history of anaphylaxis, or uncontrolled asthma, and persisting toxicity related to
             prior therapy of Grade greater than (>) 1

          -  Subjects with brain metastases are excluded, except those meeting the following
             criteria: brain metastases that have been treated locally and are clinically stable
             for at least 2 weeks prior to enrollment, subjects must be either off steroids or on
             a stable or decreasing dose of less than (<) 10 mg daily prednisone (or equivalent),
             and do not have ongoing neurological symptoms that are related to the brain
             localization of the disease

          -  Other protocol defined criteria could apply
      "

NCT02576574,Phase 3,EMD Serono,Industry,"A Phase III, Open-label, Multicenter Trial of Avelumab (MSB0010718C) Versus Platinum-based Doublet as a First-line Treatment of Recurrent or Stage IV PD-L1+ Non-small Cell Lung Cancer",2,18,150,include,include,include,,include,include,include,,,,,require,,exclude,exclude,,,,exclude,1800,,,,,"
        Inclusion Criteria:

          -  Male or female subjects aged greater than or equal to (>=) 18 years

          -  Tumor determined to be positive for PD-L1 expression per the evaluation of a central
             laboratory

          -  Eastern Cooperative Oncology Group Performance Status (ECOG PS) of 0 to 1

          -  At least 1 lesion that can be measured.

          -  Subjects with histologically confirmed metastatic or recurrent non-small cell lung
             cancer (NSCLC)

          -  Subjects must not have received any treatment for systemic lung cancer, and have an
             estimated life expectancy of more than 12 weeks

          -  Other protocol defined criteria could apply

        Exclusion Criteria:

          -  Subjects whose disease harbors an activating epidermal growth factor receptor (EGFR)
             mutation, or an anaplastic lymphoma kinase (ALK) rearrangement

          -  Prior therapy with any antibody or drug targeting T cell coregulatory proteins,
             concurrent anticancer treatment, or immunosuppressive agents

          -  Subjects with known severe hypersensitivity reactions to monoclonal antibodies,
             history of anaphylaxis, or uncontrolled asthma, and persisting toxicity related to
             prior therapy of Grade greater than (>) 1

          -  Subjects with brain metastases are excluded, except those meeting the following
             criteria: brain metastases that have been treated locally and are clinically stable
             for at least 2 weeks prior to enrollment, subjects must be either off steroids or on
             a stable or decreasing dose of less than (<) 10 mg daily prednisone (or equivalent),
             and do not have ongoing neurological symptoms that are related to the brain
             localization of the disease

          -  Other protocol defined criteria could apply
      "

NCT02588261,Phase 3,"Astellas Pharma Global Development, Inc.",Industry,"An Open-label, Randomized Phase 3 Efficacy Study of ASP8273 vs Erlotinib or Gefitinib in First-line Treatment of Patients With Stage IIIB/IV Non-small Cell Lung Cancer Tumors With EGFR Activating Mutations",1,18,150,include,,,,,,include,include,,,require,,,,,,,,,,,,,,"
        Inclusion Criteria:

          -  Subject agrees not to participate in another interventional study while on treatment.

          -  Female subject must either:

               -  Be of nonchildbearing potential: postmenopausal (defined as at least 1 year
                  without any menses) prior to Screening, or documented surgically sterile

               -  Or, if of childbearing potential: Agree not to try to become pregnant during the
                  study and for 28 days after the final study drug administration; And have a
                  negative serum pregnancy test at Screening; And, if heterosexually active, agree
                  to consistently use 2 forms of highly effective birth control (at least 1 of
                  which must be a highly effective method and one must be a barrier method)
                  starting at Screening and throughout the study period and for 28 days after the
                  final study drug administration.

          -  Female subject must not be breastfeeding at Screening or during the study period, and
             for 28 days after the final study drug administration.

          -  Female subject must not donate ova starting at Screening and throughout the study
             period, and for 28 days after the final study drug administration.

          -  Male subject and their female spouse/partners who are of childbearing potential must
             be using highly effective contraception consisting of 2 forms of birth control (1 of
             which must be a barrier method) starting at Screening and continue throughout the
             study period and for 90 days after the final study drug administration.

          -  Male subject must not donate sperm starting at Screening and throughout the study
             period and for 90 days after the final study drug administration.

          -  Subject has Eastern Cooperative Oncology Group (ECOG) performance status ‰ä_ 2.

          -  Subject has histologically confirmed locally advanced, metastatic or unresectable
             Stage IIIB/IV adenocarcinoma NSCLC (newly diagnosed or recurrent). Subjects with
             mixed histology are eligible if adenocarcinoma is the predominant histology.

          -  Subject has predicted life expectancy ‰ä´ 12 weeks in the opinion of the investigator.

          -  Subject must meet all of the following criteria on the laboratory tests that will be
             analyzed centrally within 7 days prior to the first dose of study drug. In case of
             multiple laboratory data within this period, the most recent data should be used.

               -  Neutrophil count > 1,000/mm3

               -  Platelet count ‰ä´ 7.5 x 104 /mm3

               -  Hemoglobin > 8.0 g/dL

               -  Serum creatinine èâ 2.0 x upper limit of normal (ULN) or an estimated glomerular
                  filtration rate (eGFR) of > 50 mL/min as calculated by the Cockcroft Gault
                  Method

               -  Total bilirubin èâ1.5 x ULN (except for subjects with documented Gilbert's
                  syndrome)

               -  AST and ALT èâ 3.0 x ULN or ‰ä_ 5 x ULN if subject has documented liver metastases

               -  Serum sodium level is ‰ä´ 130 mmol/L

          -  Subject has an EGFR activating mutation (exon 19 deletion or exon 21 L858R), with or
             without T790M mutation, by local or central testing on examination of a NSCLC FFPE
             specimen (archival or fresh biopsy). Subjects harboring both exon 19 deletion and
             exon 21 L858R mutations are not eligible. A tissue sample from the same block used to
             determine eligibility by local testing should be available to send to the central lab
             for confirmatory testing. Subjects randomized based on local results indicating
             presence of EGFR mutation may remain on study if central results are discordant.

          -  Subject must have at least 1 measureable lesion based on RECIST V1.1. Previously
             irradiated lesions will not be considered as measurable lesions.

        Exclusion Criteria:

          -  Subject has received intervening anticancer treatment or previous treatment with
